state,city,station,latitude,longitude,aqi_category,aqi_label,hotspot_cluster,PM2.5,NO2
Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",16.5150833,80.5181667,0,Good,0,17.0,8.0
Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",14.675886,77.593027,1,Satisfactory,0,59.0,26.0
Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",13.20488,79.097889,1,Satisfactory,0,55.0,39.0
Andhra_Pradesh,Eluru,"District Court, Eluru - APPCB",16.711754,81.092095,1,Satisfactory,0,56.0,17.0
Andhra_Pradesh,Guntur,"Rajendra Nagar North, Guntur - APPCB",16.316553,80.413302,1,Satisfactory,0,52.0,16.0
Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",14.465052,78.824187,1,Satisfactory,0,53.0,21.0
Andhra_Pradesh,Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB",16.186555,81.13219,3,Poor,0,95.0,23.0
Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",16.9872867,81.7363176,0,Good,0,23.0,18.0
Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB",13.67,79.35,1,Satisfactory,0,46.0,66.0
Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",13.615387,79.40923,1,Satisfactory,0,59.0,31.0
Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",16.536107,80.594233,2,Moderate,0,72.0,22.0
Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",16.486692,80.699436,1,Satisfactory,0,49.0,17.0
Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",16.509717,80.612222,2,Moderate,0,85.0,16.0
Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",16.554731,80.64911,1,Satisfactory,0,55.0,21.0
Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",17.72,83.3,1,Satisfactory,0,46.0,47.0
Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",27.103358,93.679645,0,Good,0,13.0,6.0
Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",26.071318,91.87488,4,Very Poor,0,129.0,8.0
Assam,Guwahati,"IITG, Guwahati - PCBA",26.2028636,91.70046436,0,Good,0,26.0,1.0
Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",26.10887,91.589544,3,Poor,0,114.0,15.0
Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",26.1875,91.744194,1,Satisfactory,0,33.0,23.0
Assam,Guwahati,"Railway Colony, Guwahati - PCBA",26.181742,91.78063,1,Satisfactory,0,51.0,3.0
Assam,Nagaon,"Christianpatty, Nagaon - PCBA",26.349082,92.68449,2,Moderate,0,73.0,7.0
Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",26.446912,91.439057,4,Very Poor,0,154.0,14.0
Assam,Silchar,"Tarapur, Silchar - PCBA",24.82827,92.79525,1,Satisfactory,0,32.0,24.0
Assam,Sivasagar,"Girls College, Sivasagar - PCBA",26.987634,94.636574,0,Good,0,13.0,35.0
Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",26.146529,87.454184,1,Satisfactory,0,50.0,2.0
Bihar,Arrah,"New DM Office, Arrah - BSPCB",25.5626095,84.663264,4,Very Poor,0,130.0,7.0
Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",24.75746,84.366208,1,Satisfactory,0,42.0,8.0
Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",25.42742023,86.13886079,2,Moderate,0,70.0,13.0
Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",26.80365,84.51954,1,Satisfactory,0,58.0,8.0
Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",25.251013,86.989001,4,Very Poor,0,134.0,9.0
Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",25.265194,87.012947,1,Satisfactory,0,37.0,7.0
Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",25.204762,85.51496,2,Moderate,0,63.0,9.0
Bihar,Buxar,"Charitra Van, Buxar - BSPCB",25.56752,83.966379,2,Moderate,0,73.0,9.0
Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",25.7808257,84.7446768,2,Moderate,0,85.0,4.0
Bihar,Gaya,"Collectorate, Gaya - BSPCB",24.7955,84.9994,3,Poor,0,98.0,9.0
Bihar,Gaya,"Kareemganj, Gaya - BSPCB",24.792403,84.992416,2,Moderate,0,78.0,12.0
Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",24.762518,84.982348,2,Moderate,0,66.0,21.0
Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",25.697189,85.2459,4,Very Poor,0,206.0,22.0
Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",25.560083,87.553265,1,Satisfactory,0,42.0,9.0
Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",26.0881305,87.93840336,1,Satisfactory,0,59.0,8.0
Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",27.308328,84.531742,3,Poor,0,111.0,5.0
Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",26.63086,84.90051,3,Poor,0,98.0,5.0
