latitude,longitude,PM2.5,NO2,PM10,landuse_cluster,change_risk,change_risk_label
23.107969,72.574648,82.0,18.0,188.0,2,3,Very High
22.977134,72.553024,181.0,80.0,241.0,2,3,Very High
23.002657,72.591912,92.0,88.0,110.0,1,2,High
23.020509,72.579261,141.0,36.0,243.0,2,3,Very High
23.041137,72.456691,207.0,19.0,146.0,2,3,Very High
23.023389,72.515201,219.0,5.0,159.0,2,3,Very High
23.076793,72.627874,82.0,39.0,161.0,2,3,Very High
21.613267,73.010555,95.0,20.0,137.0,0,1,Moderate
21.755417,72.139056,36.0,51.0,128.0,0,1,Moderate
23.163798,72.677768,67.0,26.0,196.0,2,3,Very High
23.243639,72.68994,81.0,13.0,161.0,2,3,Very High
23.221714,72.654328,163.0,27.0,160.0,2,3,Very High
23.59315,72.372792,56.0,46.0,62.0,1,2,High
22.410802,73.097923,269.0,49.0,225.0,2,3,Very High
22.248853,70.776774,35.0,14.0,76.0,3,0,Low
21.217779,72.834787,78.0,24.0,100.0,0,1,Moderate
21.170046,72.795405,122.0,18.0,175.0,0,1,Moderate
22.320153,73.216285,64.0,26.0,91.0,0,1,Moderate
20.362421,72.918013,60.0,14.0,74.0,0,1,Moderate
22.969611,72.6435,133.0,101.0,123.0,1,2,High
