state,city,station,latitude,longitude,CO,NH3,NO2,OZONE,PM10,PM2.5,SO2,aqi_category,aqi_label
Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",16.5150833,80.5181667,26.0,2.0,8.0,2.0,80.0,17.0,4.0,0,Good
Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",14.675886,77.593027,35.0,6.0,26.0,47.0,75.0,59.0,14.0,1,Satisfactory
Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",13.20488,79.097889,27.0,6.0,39.0,21.0,52.0,55.0,12.0,1,Satisfactory
Andhra_Pradesh,Eluru,"District Court, Eluru - APPCB",16.711754,81.092095,28.0,4.0,17.0,6.0,48.0,56.0,9.0,1,Satisfactory
Andhra_Pradesh,Guntur,"Rajendra Nagar North, Guntur - APPCB",16.316553,80.413302,16.0,4.0,16.0,17.0,49.0,52.0,11.0,1,Satisfactory
Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",14.465052,78.824187,23.0,3.0,21.0,14.0,56.0,53.0,11.0,1,Satisfactory
Andhra_Pradesh,Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB",16.186555,81.13219,16.0,5.0,23.0,1.0,76.0,95.0,9.0,3,Poor
Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",16.9872867,81.7363176,30.0,3.0,18.0,5.0,38.0,23.0,8.0,0,Good
Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB",13.67,79.35,22.0,3.0,66.0,103.0,55.0,46.0,7.0,1,Satisfactory
Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",13.615387,79.40923,19.0,4.0,31.0,11.0,58.0,59.0,15.0,1,Satisfactory
Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",16.536107,80.594233,38.0,4.0,22.0,15.0,65.0,72.0,24.0,2,Moderate
