Date,state,district,sm_level,sm_agg_pct,sm_vol_pct,day_of_year,week,month,district_encoded,drought_risk
2018-06-30,GUJARAT,Gandhinagar,0.08,0.67,21.38121423,181,26,6,7,2
2018-06-30,GUJARAT,Narmada,0.0,0.0,40.27918054,181,26,6,13,2
2018-06-30,GUJARAT,Jamnagar,0.07,0.48,13.14033617,181,26,6,8,2
2018-06-30,GUJARAT,Vadodara,0.2,2.08,35.66809871,181,26,6,24,2
2018-06-30,GUJARAT,Navsari,1.11,7.58,36.2433083,181,26,6,14,1
2018-06-30,GUJARAT,Surendranagar,0.01,0.09,18.72298599,181,26,6,21,2
2018-06-30,GUJARAT,Bharuch,1.24,7.04,35.66061067,181,26,6,4,1
2018-06-30,GUJARAT,Valsad,0.61,4.24,31.17689217,181,26,6,25,2
2018-06-30,GUJARAT,Amreli,0.2,1.87,21.09406891,181,26,6,1,2
2018-06-30,GUJARAT,Anand,0.46,3.5,26.50018971,181,26,6,2,2
2018-06-30,GUJARAT,Bhavnagar,0.34,2.23,27.78719125,181,26,6,5,2
2018-06-30,GUJARAT,Kheda,0.74,7.11,26.66797887,181,26,6,11,1
2018-06-30,GUJARAT,Patan,0.09,0.77,26.0072067,181,26,6,16,2
2018-06-30,GUJARAT,The Dangs,0.0,0.0,26.71011308,181,26,6,23,2
2018-06-30,GUJARAT,Tapi,0.08,0.53,36.36837791,181,26,6,22,2
2018-06-30,GUJARAT,Panch Mahals,0.47,4.11,32.62903668,181,26,6,15,2
2018-06-30,GUJARAT,Surat,1.21,7.57,39.20909924,181,26,6,20,1
2018-06-30,GUJARAT,Sabar Kantha,1.2,10.62,32.05707885,181,26,6,19,1
2018-06-30,GUJARAT,Mahesana,0.06,0.49,22.16276229,181,26,6,12,2
2018-06-30,GUJARAT,Banas Kantha,0.35,3.24,25.4472759,181,26,6,3,2
2018-06-30,GUJARAT,Dohad,0.09,0.86,35.36186625,181,26,6,6,2
2018-06-30,GUJARAT,Ahmadabad,0.15,0.93,27.2224571,181,26,6,0,2
2018-06-30,GUJARAT,Porbandar,0.01,0.15,10.92616687,181,26,6,17,2
2018-06-30,GUJARAT,Junagadh,0.02,0.34,11.36636992,181,26,6,9,2
2018-06-30,GUJARAT,Kachchh,1.1,6.13,11.63472861,181,26,6,10,1
2018-06-30,GUJARAT,Rajkot,0.03,0.19,20.65426037,181,26,6,18,2
2018-06-29,GUJARAT,Gandhinagar,0.54,3.87,23.67757806,180,26,6,7,2
2018-06-29,GUJARAT,Narmada,0.0,0.0,42.04374348,180,26,6,13,2
2018-06-29,GUJARAT,Jamnagar,0.11,0.81,13.94901939,180,26,6,8,2
2018-06-29,GUJARAT,Vadodara,0.23,2.44,37.36327665,180,26,6,24,2
2018-06-29,GUJARAT,Navsari,1.15,7.8,37.70301636,180,26,6,14,1
2018-06-29,GUJARAT,Surendranagar,0.05,0.37,19.63846225,180,26,6,21,2
2018-06-29,GUJARAT,Bharuch,1.3,7.39,37.73137459,180,26,6,4,1
2018-06-29,GUJARAT,Valsad,0.63,4.42,32.37892012,180,26,6,25,2
2018-06-29,GUJARAT,Amreli,0.22,2.05,21.92759651,180,26,6,1,2
2018-06-29,GUJARAT,Anand,0.51,3.92,28.23183194,180,26,6,2,2
2018-06-29,GUJARAT,Bhavnagar,0.32,2.05,28.90667102,180,26,6,5,2
2018-06-29,GUJARAT,Kheda,0.87,8.33,28.90294002,180,26,6,11,1
2018-06-29,GUJARAT,Patan,0.4,2.98,28.17743203,180,26,6,16,2
2018-06-29,GUJARAT,The Dangs,0.0,0.01,27.68893381,180,26,6,23,2
2018-06-29,GUJARAT,Tapi,0.15,0.95,38.55135394,180,26,6,22,2
2018-06-29,GUJARAT,Panch Mahals,0.71,6.33,35.21962775,180,26,6,15,1
2018-06-29,GUJARAT,Surat,1.28,7.96,41.64594407,180,26,6,20,1
2018-06-29,GUJARAT,Sabar Kantha,2.24,18.74,35.96751098,180,26,6,19,0
2018-06-29,GUJARAT,Mahesana,0.34,2.47,23.58768708,180,26,6,12,2
2018-06-29,GUJARAT,Banas Kantha,0.96,7.42,28.15211604,180,26,6,3,1
2018-06-29,GUJARAT,Dohad,0.09,0.9,36.67917593,180,26,6,6,2
2018-06-29,GUJARAT,Ahmadabad,0.18,1.18,28.817078,180,26,6,0,2
2018-06-29,GUJARAT,Porbandar,0.0,0.08,10.08544172,180,26,6,17,2
2018-06-29,GUJARAT,Junagadh,0.02,0.34,11.33854883,180,26,6,9,2
2018-06-29,GUJARAT,Kachchh,1.15,6.37,12.59715377,180,26,6,10,1
2018-06-29,GUJARAT,Rajkot,0.13,1.19,21.83770554,180,26,6,18,2
2018-06-28,GUJARAT,Gandhinagar,0.01,0.05,21.24864037,179,26,6,7,2
2018-06-28,GUJARAT,Narmada,0.0,0.0,41.28243327,179,26,6,13,2
2018-06-28,GUJARAT,Jamnagar,0.06,0.43,5.062135684,179,26,6,8,2
2018-06-28,GUJARAT,Vadodara,0.21,2.26,37.7209086,179,26,6,24,2
2018-06-28,GUJARAT,Navsari,1.07,7.12,38.28936079,179,26,6,14,1
2018-06-28,GUJARAT,Surendranagar,0.01,0.1,12.85198038,179,26,6,21,2
2018-06-28,GUJARAT,Bharuch,1.29,7.28,37.79526587,179,26,6,4,1
2018-06-28,GUJARAT,Valsad,0.85,5.61,33.75349682,179,26,6,25,1
2018-06-28,GUJARAT,Amreli,0.12,1.13,16.3387982,179,26,6,1,2
2018-06-28,GUJARAT,Anand,0.32,2.71,28.4041075,179,26,6,2,2
2018-06-28,GUJARAT,Bhavnagar,0.26,1.56,28.19049886,179,26,6,5,2
2018-06-28,GUJARAT,Kheda,0.47,4.48,29.2664737,179,26,6,11,2
2018-06-28,GUJARAT,Patan,0.04,0.37,10.15104406,179,26,6,16,2
2018-06-28,GUJARAT,The Dangs,0.58,3.17,29.12978421,179,26,6,23,2
2018-06-28,GUJARAT,Tapi,0.1,0.57,37.99180952,179,26,6,22,2
2018-06-28,GUJARAT,Panch Mahals,0.38,3.17,34.51142983,179,26,6,15,2
2018-06-28,GUJARAT,Surat,1.15,7.05,39.45870096,179,26,6,20,1
2018-06-28,GUJARAT,Sabar Kantha,0.84,6.64,34.02600358,179,26,6,19,1
2018-06-28,GUJARAT,Mahesana,0.01,0.07,17.57964877,179,26,6,12,2
2018-06-28,GUJARAT,Banas Kantha,0.04,0.27,7.266005632,179,26,6,3,2
2018-06-28,GUJARAT,Dohad,0.1,0.98,38.22838245,179,26,6,6,2
2018-06-28,GUJARAT,Ahmadabad,0.11,0.69,26.25936008,179,26,6,0,2
2018-06-28,GUJARAT,Porbandar,0.0,0.08,9.55267804,179,26,6,17,2
2018-06-28,GUJARAT,Junagadh,0.03,0.35,8.48861601,179,26,6,9,2
2018-06-28,GUJARAT,Kachchh,0.9,5.01,8.326234023,179,26,6,10,1
2018-06-28,GUJARAT,Rajkot,0.01,0.06,8.10996327,179,26,6,18,2
2018-06-27,GUJARAT,Gandhinagar,0.0,0.0,19.88774503,178,26,6,7,2
2018-06-27,GUJARAT,Narmada,0.0,0.0,41.8148719,178,26,6,13,2
2018-06-27,GUJARAT,Jamnagar,0.06,0.43,5.005468209,178,26,6,8,2
2018-06-27,GUJARAT,Vadodara,0.22,2.39,38.47358316,178,26,6,24,2
2018-06-27,GUJARAT,Navsari,1.21,7.87,39.38634085,178,26,6,14,1
2018-06-27,GUJARAT,Surendranagar,0.02,0.1,10.50048936,178,26,6,21,2
2018-06-27,GUJARAT,Bharuch,1.35,7.61,38.36339048,178,26,6,4,1
2018-06-27,GUJARAT,Valsad,1.38,8.46,34.99796434,178,26,6,25,1
2018-06-27,GUJARAT,Amreli,0.13,1.17,16.1418455,178,26,6,1,2
2018-06-27,GUJARAT,Anand,0.32,2.78,29.21244826,178,26,6,2,2
