YEAR,ANNUAL,JAN-FEB,MAR-MAY,JUN-SEP,OCT-DEC,ANNUAL_ROLL10,IS_ANOMALY_YEAR
1901,25.42,20.11,27.64,28.16,23.1,25.42,0
1902,25.42,20.88,27.96,27.98,22.51,25.42,0
1903,25.01,19.99,27.02,28.0,22.33,25.283333333333335,0
1904,24.93,19.76,27.23,27.57,22.56,25.195,0
1905,24.84,18.36,26.38,28.2,23.13,25.124000000000002,0
1906,25.18,19.75,27.39,27.78,23.11,25.133333333333336,0
1907,25.02,20.51,26.53,27.74,22.88,25.117142857142856,0
1908,25.0,20.12,27.53,27.65,22.21,25.1025,0
1909,24.96,20.08,27.14,27.32,22.9,25.086666666666666,0
1910,24.84,20.24,27.29,27.44,22.01,25.062,0
1911,25.08,20.34,26.95,27.83,22.72,25.028,0
1912,25.2,20.89,27.31,27.88,22.39,25.006,0
1913,24.95,20.28,27.01,27.57,22.5,25.0,0
1914,25.07,20.51,26.92,27.71,22.75,25.014,0
1915,25.44,20.09,27.45,28.33,23.14,25.074,0
1916,25.08,20.2,27.86,27.5,22.34,25.064,0
1917,24.54,20.16,26.16,27.3,22.14,25.016,1
1918,24.96,19.75,26.82,27.78,22.81,25.012,0
1919,25.15,20.48,27.33,27.7,22.71,25.031,0
1920,25.14,20.24,26.91,27.8,23.09,25.061,0
1921,25.45,20.87,28.46,27.69,22.5,25.098,0
1922,25.18,20.53,27.88,27.6,22.33,25.095999999999997,0
1923,25.16,20.01,27.44,27.9,22.64,25.117,0
1924,25.3,20.39,27.82,27.92,22.55,25.14,0
1925,24.97,19.4,27.5,27.57,22.71,25.092999999999996,0
1926,25.14,20.9,26.74,28.13,22.37,25.099,0
1927,25.01,20.05,26.97,27.69,22.77,25.146,0
1928,25.31,20.58,27.56,27.79,22.92,25.181,0
1929,25.15,19.99,27.77,27.71,22.58,25.181,0
1930,25.01,19.77,27.22,27.65,22.76,25.168,0
1931,25.45,20.69,27.72,28.04,22.89,25.168,0
1932,25.25,20.33,27.32,27.88,22.94,25.175,0
1933,24.91,20.27,26.78,27.46,22.75,25.15,0
1934,25.06,20.15,27.32,27.74,22.5,25.125999999999998,0
1935,25.05,20.05,27.23,27.62,22.77,25.134,0
1936,25.11,20.18,27.4,27.46,22.98,25.131,0
1937,25.0,20.23,26.99,27.88,22.36,25.130000000000003,0
1938,25.1,20.09,27.95,27.45,22.47,25.109,0
1939,25.09,20.51,26.95,27.73,22.75,25.103,0
1940,24.97,20.02,26.77,27.75,22.76,25.099,0
